"lsoa11cd","lsoa11nm","BP_PRE_1900","BP_1900_1918","BP_1919_1929","BP_1930_1939","BP_1945_1954","BP_1955_1964","BP_1965_1972","BP_1973_1982","BP_1983_1992","BP_1993_1999","BP_2000_2009","BP_2010_2015","BP_UNKNOWN","ALL_PROPERTIES","MODE1_VAL","MODE1_TYPE","MODE1_PC","MODE2_VAL","MODE2_TYPE","MODE2_PC","MODE2_MODE1_RATIO"
"E01000264","Barnet 016D",1,140,190,190,10,80,1,0,20,40,10,40,1,720,190,"BP_1930_1939",0.26,190,"BP_1919_1929",0.26,1
"E01000265","Barnet 011A",90,30,50,470,1,70,1,50,20,10,30,1,1,830,470,"BP_1930_1939",0.57,90,"BP_PRE_1900",0.11,0.19
"E01000266","Barnet 011B",1,50,190,220,30,10,10,0,10,0,10,10,1,530,220,"BP_1930_1939",0.42,190,"BP_1919_1929",0.36,0.86
"E01000267","Barnet 005A",1,10,80,280,50,50,40,0,1,70,1,0,1,600,280,"BP_1930_1939",0.47,80,"BP_1919_1929",0.13,0.29
"E01000268","Barnet 005B",80,50,20,190,10,60,70,50,100,70,90,10,10,800,190,"BP_1930_1939",0.24,100,"BP_1983_1992",0.13,0.53
"E01000269","Barnet 005C",1,1,40,460,0,0,20,1,1,0,20,10,1,550,460,"BP_1930_1939",0.84,40,"BP_1919_1929",0.07,0.09
"E01000270","Barnet 005D",30,50,90,70,40,80,90,80,70,1,30,0,0,640,90,"BP_1965_1972",0.14,90,"BP_1919_1929",0.14,1
"E01000271","Barnet 008A",1,30,60,180,50,100,100,1,20,70,0,1,1,620,180,"BP_1930_1939",0.29,100,"BP_1965_1972",0.16,0.56
"E01000272","Barnet 008B",30,80,70,80,40,70,60,20,20,10,1,0,0,490,80,"BP_1930_1939",0.16,80,"BP_1900_1918",0.16,1
"E01000273","Barnet 008C",40,90,70,70,110,30,130,90,20,20,30,10,0,710,130,"BP_1965_1972",0.18,110,"BP_1945_1954",0.15,0.85
"E01000274","Barnet 011C",0,70,320,110,70,10,50,0,10,0,80,1,0,710,320,"BP_1919_1929",0.45,110,"BP_1930_1939",0.15,0.34
"E01000275","Barnet 012A",10,20,40,120,30,70,100,130,70,50,20,30,1,680,130,"BP_1973_1982",0.19,120,"BP_1930_1939",0.18,0.92
"E01000276","Barnet 020A",1,0,0,390,30,50,30,1,1,1,1,0,1,510,390,"BP_1930_1939",0.76,50,"BP_1955_1964",0.1,0.13
"E01000277","Barnet 012B",40,30,20,20,20,190,180,70,190,30,30,30,1,840,190,"BP_1983_1992",0.23,190,"BP_1955_1964",0.23,1
"E01000278","Barnet 020B",0,0,10,500,10,1,0,1,0,0,0,1,1,520,500,"BP_1930_1939",0.96,10,"BP_1945_1954",0.02,0.02
"E01000279","Barnet 007C",70,30,10,120,70,100,50,30,10,10,20,10,20,550,120,"BP_1930_1939",0.22,100,"BP_1955_1964",0.18,0.83
"E01000280","Barnet 007D",10,10,10,410,10,30,10,1,10,10,10,1,10,520,410,"BP_1930_1939",0.79,30,"BP_1955_1964",0.06,0.07
"E01000281","Barnet 008D",20,40,40,20,0,60,200,80,100,0,1,0,10,570,200,"BP_1965_1972",0.35,100,"BP_1983_1992",0.18,0.5
"E01000282","Barnet 008E",20,120,180,260,1,20,10,10,30,30,10,1,1,690,260,"BP_1930_1939",0.38,180,"BP_1919_1929",0.26,0.69
"E01000283","Barnet 012C",0,1,1,320,90,60,10,1,1,1,1,0,0,490,320,"BP_1930_1939",0.65,90,"BP_1945_1954",0.18,0.28
"E01000284","Barnet 012D",50,110,30,70,50,220,90,60,40,80,20,1,10,820,220,"BP_1955_1964",0.27,110,"BP_1900_1918",0.13,0.5
"E01000285","Barnet 004A",10,0,10,150,30,120,10,100,50,170,1,0,0,630,170,"BP_1993_1999",0.27,150,"BP_1930_1939",0.24,0.88
"E01000286","Barnet 007E",20,10,200,0,50,290,1,1,90,1,1,0,0,670,290,"BP_1955_1964",0.43,200,"BP_1919_1929",0.3,0.69
"E01000287","Barnet 004B",10,20,110,100,300,10,0,20,50,1,20,0,0,620,300,"BP_1945_1954",0.48,110,"BP_1919_1929",0.18,0.37
"E01000288","Barnet 004C",30,0,10,450,30,10,40,10,0,1,1,0,0,580,450,"BP_1930_1939",0.78,40,"BP_1965_1972",0.07,0.09
"E01000289","Barnet 004D",0,20,90,20,0,110,320,40,20,0,20,0,1,640,320,"BP_1965_1972",0.5,110,"BP_1955_1964",0.17,0.34
"E01000290","Barnet 007F",10,10,20,50,90,280,20,1,150,50,10,1,1,720,280,"BP_1955_1964",0.39,150,"BP_1983_1992",0.21,0.54
"E01000291","Barnet 004E",0,0,0,80,40,40,280,60,0,80,30,0,10,600,280,"BP_1965_1972",0.47,80,"BP_1993_1999",0.13,0.29
"E01000292","Barnet 001E",40,50,150,120,10,40,30,110,70,20,10,10,0,650,150,"BP_1919_1929",0.23,120,"BP_1930_1939",0.18,0.8
"E01000293","Barnet 001F",60,230,220,140,1,1,1,1,1,10,10,10,1,700,230,"BP_1900_1918",0.33,220,"BP_1919_1929",0.31,0.96
"E01000294","Barnet 004F",80,70,1,190,50,20,20,120,90,10,20,40,0,700,190,"BP_1930_1939",0.27,120,"BP_1973_1982",0.17,0.63
"E01000295","Barnet 023B",20,310,130,80,30,30,0,10,10,50,0,0,1,670,310,"BP_1900_1918",0.46,130,"BP_1919_1929",0.19,0.42
"E01000296","Barnet 023C",90,280,100,100,0,40,110,20,0,0,30,10,1,770,280,"BP_1900_1918",0.36,110,"BP_1965_1972",0.14,0.39
"E01000297","Barnet 027D",100,320,40,70,10,0,1,1,10,10,10,0,0,570,320,"BP_1900_1918",0.56,100,"BP_PRE_1900",0.18,0.31
"E01000298","Barnet 023D",150,280,140,20,1,20,50,40,20,10,20,1,10,760,280,"BP_1900_1918",0.37,150,"BP_PRE_1900",0.2,0.54
"E01000299","Barnet 019A",80,380,30,10,0,10,10,1,60,40,170,1,10,810,380,"BP_1900_1918",0.47,170,"BP_2000_2009",0.21,0.45
"E01000300","Barnet 019B",50,320,60,40,40,20,70,20,30,0,10,10,10,690,320,"BP_1900_1918",0.46,70,"BP_1965_1972",0.1,0.22
"E01000301","Barnet 020C",0,80,250,140,1,10,10,10,30,0,10,10,1,550,250,"BP_1919_1929",0.45,140,"BP_1930_1939",0.25,0.56
"E01000302","Barnet 019C",120,80,50,110,50,40,110,140,50,40,100,1,1,880,140,"BP_1973_1982",0.16,120,"BP_PRE_1900",0.14,0.86
"E01000303","Barnet 020D",10,90,280,30,90,20,10,0,10,20,0,0,0,540,280,"BP_1919_1929",0.52,90,"BP_1945_1954",0.17,0.32
"E01000304","Barnet 020E",170,170,50,140,10,1,70,1,1,0,1,0,1,620,170,"BP_1900_1918",0.27,170,"BP_PRE_1900",0.27,1
"E01000305","Barnet 036B",60,100,1,180,10,10,190,100,1,1,10,10,0,680,190,"BP_1965_1972",0.28,180,"BP_1930_1939",0.26,0.95
"E01000306","Barnet 036C",0,520,1,0,1,0,0,0,20,0,0,1,1,550,520,"BP_1900_1918",0.95,20,"BP_1983_1992",0.04,0.04
"E01000307","Barnet 039D",0,100,240,120,80,10,0,0,0,1,1,0,0,540,240,"BP_1919_1929",0.44,120,"BP_1930_1939",0.22,0.5
"E01000308","Barnet 036D",0,10,10,170,0,0,410,0,70,0,0,190,1,860,410,"BP_1965_1972",0.48,190,"BP_2010_2015",0.22,0.46
